date,process_id,process_type,owner_team,status,start_time,end_time,handling_minutes,error_rework,error_type,rework_cost,system_used,approval_required,final_outcome
2026-04-01,INV-1001,invoice,Finance,completed,09:05,09:17,12,no,,0,Xero,yes,paid
2026-04-01,INV-1002,invoice,Finance,completed,09:22,09:33,11,no,,0,Xero,yes,paid
2026-04-01,INV-1003,invoice,Finance,completed,10:10,10:29,19,yes,missing_purchase_order,48,Xero,yes,corrected
2026-04-02,INV-1004,invoice,Finance,completed,09:12,09:21,9,no,,0,Xero,yes,paid
2026-04-02,INV-1005,invoice,Finance,completed,09:40,09:54,14,no,,0,Xero,yes,paid
2026-04-02,INV-1006,invoice,Finance,completed,11:02,11:19,17,yes,duplicate_check,52,Xero,yes,corrected
2026-04-03,INV-1007,invoice,Finance,completed,08:55,09:08,13,no,,0,Xero,yes,paid
2026-04-03,INV-1008,invoice,Finance,completed,09:18,09:28,10,no,,0,Xero,yes,paid
2026-04-03,INV-1009,invoice,Finance,completed,14:05,14:21,16,no,,0,Xero,yes,paid
2026-04-06,INV-1010,invoice,Finance,completed,09:03,09:15,12,no,,0,Xero,yes,paid
2026-04-06,INV-1011,invoice,Finance,completed,09:24,09:42,18,yes,wrong_supplier_code,45,Xero,yes,corrected
2026-04-06,INV-1012,invoice,Finance,completed,10:15,10:25,10,no,,0,Xero,yes,paid
2026-04-07,INV-1013,invoice,Finance,completed,09:01,09:12,11,no,,0,Xero,yes,paid
2026-04-07,INV-1014,invoice,Finance,completed,09:19,09:34,15,no,,0,Xero,yes,paid
2026-04-07,INV-1015,invoice,Finance,completed,10:00,10:18,18,yes,approval_delay,60,Xero,yes,corrected
2026-04-08,INV-1016,invoice,Finance,completed,09:14,09:25,11,no,,0,Xero,yes,paid
2026-04-08,INV-1017,invoice,Finance,completed,09:32,09:44,12,no,,0,Xero,yes,paid
2026-04-08,INV-1018,invoice,Finance,completed,11:08,11:21,13,no,,0,Xero,yes,paid
2026-04-09,INV-1019,invoice,Finance,completed,08:50,09:01,11,no,,0,Xero,yes,paid
2026-04-09,INV-1020,invoice,Finance,completed,09:10,09:29,19,yes,missing_purchase_order,50,Xero,yes,corrected
2026-04-09,INV-1021,invoice,Finance,completed,13:20,13:31,11,no,,0,Xero,yes,paid
2026-04-10,INV-1022,invoice,Finance,completed,09:04,09:15,11,no,,0,Xero,yes,paid
2026-04-10,INV-1023,invoice,Finance,completed,09:27,09:40,13,no,,0,Xero,yes,paid
2026-04-10,INV-1024,invoice,Finance,completed,10:44,10:58,14,no,,0,Xero,yes,paid
2026-04-13,INV-1025,invoice,Finance,completed,09:05,09:16,11,no,,0,Xero,yes,paid
2026-04-13,INV-1026,invoice,Finance,completed,09:20,09:34,14,no,,0,Xero,yes,paid
2026-04-13,INV-1027,invoice,Finance,completed,10:06,10:26,20,yes,duplicate_check,55,Xero,yes,corrected
2026-04-14,INV-1028,invoice,Finance,completed,09:11,09:23,12,no,,0,Xero,yes,paid
2026-04-14,INV-1029,invoice,Finance,completed,09:40,09:51,11,no,,0,Xero,yes,paid
2026-04-14,INV-1030,invoice,Finance,completed,13:02,13:16,14,no,,0,Xero,yes,paid
